task_id,category
17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,Science & Mathematics
04a04a9b-226c-43fd-b319-d5e89743676f,Science & Mathematics
14569e28-c88c-43e4-8c32-097d35b9a67d,Technology & Computer Science
e1fc63a2-da7a-432f-be78-7c4a95598703,Science & Mathematics
8e867cd7-cff9-4e6c-867a-ff5ddc2550be,Pop Culture & Entertainment
3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,History & Politics
7619a514-5fa8-43ef-9143-83b66a43d7a4,Technology & Computer Science
ec09fa32-d03f-4bf8-84b0-1f16922c3ae4,Science & Mathematics
676e5e31-a554-4acc-9286-b60d90a92d26,History & Politics
2a649bb1-795f-4a01-b3be-9a01868dae73,Science & Mathematics
87c610df-bef7-4932-b950-1d83ef4e282b,History & Politics
624cbf11-6a41-4692-af9c-36b3e5ca3130,Pop Culture & Entertainment
dd3c7503-f62a-4bd0-9f67-1b63b94194cc,Science & Mathematics
5d0080cb-90d7-4712-bc33-848150e917d3,Science & Mathematics
46719c30-f4c3-4cad-be07-d5cb21eee6bb,Technology & Computer Science
00d579ea-0889-4fd9-a771-2c8d79835c8d,Science & Mathematics
4b6bb5f7-f634-410e-815d-e673ab7f8632,Pop Culture & Entertainment
f0f46385-fc03-4599-b5d3-f56496c3e69f,Geography & Travel
384d0dd8-e8a4-4cfe-963c-d37f256e7662,Science & Mathematics
e4e91f1c-1dcd-439e-9fdd-cb976f5293fd,"Language, Linguistics & Cryptography"
56137764-b4e0-45b8-9c52-1866420c3df5,Technology & Computer Science
de9887f5-ead8-4727-876f-5a4078f8598c,Science & Mathematics
8b3379c0-0981-4f5b-8407-6444610cb212,Pop Culture & Entertainment
0ff53813-3367-4f43-bcbd-3fd725c1bf4b,Science & Mathematics
983bba7c-c092-455f-b6c9-7857003d48fc,Science & Mathematics
a7feb290-76bb-4cb7-8800-7edaf7954f2f,Science & Mathematics
b4cc024b-3f5e-480e-b96a-6656493255b5,"Arts, Literature & Museums"
2d83110e-a098-4ebb-9987-066c06fa42d0,"Language, Linguistics & Cryptography"
33d8ea3b-6c6b-4ff1-803d-7e270dea8a57,Technology & Computer Science
e8cb5b03-41e0-4086-99e5-f6806cd97211,Other
27d5d136-8563-469e-92bf-fd103c28b57c,Science & Mathematics
dc28cf18-6431-458b-83ef-64b3ce566c10,Science & Mathematics
b816bfce-3d80-4913-a07d-69b752ce6377,"Arts, Literature & Museums"
f46b4380-207e-4434-820b-f32ce04ae2a4,Pop Culture & Entertainment
72e110e7-464c-453c-a309-90a95aed6538,Other
b9763138-c053-4832-9f55-86200cb1f99c,Science & Mathematics
16d825ff-1623-4176-a5b5-42e0f5c2b0ac,Geography & Travel
544b7f0c-173a-4377-8d56-57b36eb26ddf,"Arts, Literature & Museums"
42576abe-0deb-4869-8c63-225c2d75a95a,"Language, Linguistics & Cryptography"
6b078778-0b90-464d-83f6-59511c811b01,"Arts, Literature & Museums"
b415aba4-4b68-4fc6-9b89-2c812e55a3e1,Science & Mathematics
08cae58d-4084-4616-b6dd-dd6534e4825b,Other
2dfc4c37-fec1-4518-84a7-10095d30ad75,Pop Culture & Entertainment
935e2cff-ae78-4218-b3f5-115589b19dae,Other
4fc2f1ae-8625-45b5-ab34-ad4433bc21f8,Pop Culture & Entertainment
5188369a-3bbe-43d8-8b94-11558f909a08,"Arts, Literature & Museums"
9f41b083-683e-4dcf-9185-ccfeaa88fa45,Science & Mathematics
6f37996b-2ac7-44b0-8e68-6d28256631b4,Science & Mathematics
56db2318-640f-477a-a82f-bc93ad13e882,Science & Mathematics
ecbc4f94-95a3-4cc7-b255-6741a458a625,Pop Culture & Entertainment
8131e2c0-0083-4265-9ce7-78c2d568425d,Pop Culture & Entertainment
71345b0a-9c7d-4b50-b2bf-937ec5879845,Pop Culture & Entertainment
72c06643-a2fa-4186-aa5c-9ec33ae9b445,Science & Mathematics
ebbc1f13-d24d-40df-9068-adcf735b4240,"Language, Linguistics & Cryptography"
7b5377b0-3f38-4103-8ad2-90fe89864c04,Science & Mathematics
114d5fd0-e2ae-4b6d-a65a-870da2d19c08,Other
f3917a3d-1d17-4ee2-90c5-683b072218fe,"Language, Linguistics & Cryptography"
4b650a35-8529-4695-89ed-8dc7a500a498,Other
48eb8242-1099-4c26-95d4-ef22b002457a,Science & Mathematics
c8b7e059-c60d-472e-ad64-3b04ae1166dc,"Arts, Literature & Museums"
08f3a05f-5947-4089-a4c4-d4bcfaa6b7a0,Science & Mathematics
c714ab3a-da30-4603-bacd-d008800188b9,Science & Mathematics
ded28325-3447-4c56-860f-e497d6fb3577,"Language, Linguistics & Cryptography"
e961a717-6b25-4175-8a68-874d28190ee4,History & Politics
d700d50d-c707-4dca-90dc-4528cddd0c80,Pop Culture & Entertainment
cabe07ed-9eca-40ea-8ead-410ef5e83f91,Science & Mathematics
0a3cd321-3e76-4622-911b-0fda2e5d6b1a,Other
f2feb6a4-363c-4c09-a804-0db564eafd68,Other
3cef3a44-215e-4aed-8e3b-b1e3f08063b7,Science & Mathematics
50f58759-7bd6-406f-9b0d-5692beb2a926,Technology & Computer Science
0b260a57-3f3a-4405-9f29-6d7a1012dbfb,Science & Mathematics
ed58682d-bc52-4baa-9eb0-4eb81e1edacc,Pop Culture & Entertainment
872bfbb1-9ccf-49f6-8c5f-aa22818ccd66,"Arts, Literature & Museums"
c3a79cfe-8206-451f-aca8-3fec8ebe51d3,Geography & Travel
d0633230-7067-47a9-9dbf-ee11e0a2cdd6,Technology & Computer Science
023e9d44-96ae-4eed-b912-244ee8c3b994,Geography & Travel
305ac316-eef6-4446-960a-92d80d542f82,Pop Culture & Entertainment
0e9e85b8-52b9-4de4-b402-5f635ab9631f,Other
20194330-9976-4043-8632-f8485c6c71b2,Pop Culture & Entertainment
0383a3ee-47a7-41a4-b493-519bdefe0488,Pop Culture & Entertainment
65638e28-7f37-4fa7-b7b9-8c19bb609879,Science & Mathematics
3ff6b7a9-a5bd-4412-ad92-0cd0d45c0fee,Science & Mathematics
708b99c5-e4a7-49cb-a5cf-933c8d46470d,Science & Mathematics
0a65cb96-cb6e-4a6a-8aae-c1084f613456,"Arts, Literature & Museums"
11af4e1a-5f45-467d-9aeb-46f4bb0bf034,Technology & Computer Science
e142056d-56ab-4352-b091-b56054bd1359,Science & Mathematics
50ad0280-0819-4bd9-b275-5de32d3b5bcb,"Language, Linguistics & Cryptography"
65da0822-a48a-4a68-bbad-8ed1b835a834,History & Politics
0bb3b44a-ede5-4db5-a520-4e844b0079c5,"Language, Linguistics & Cryptography"
7673d772-ef80-4f0f-a602-1bf4485c9b43,History & Politics
73c1b9fe-ee1d-4cf4-96ca-35c08f97b054,Science & Mathematics
c365c1c7-a3db-4d5e-a9a1-66f56eae7865,Geography & Travel
ad2b4d70-9314-4fe6-bfbe-894a45f6055f,Other
7d4a7d1d-cac6-44a8-96e8-ea9584a70825,Science & Mathematics
dc22a632-937f-4e6a-b72f-ba0ff3f5ff97,Pop Culture & Entertainment
e2d69698-bc99-4e85-9880-67eaccd66e6c,Pop Culture & Entertainment
3f57289b-8c60-48be-bd80-01f8099ca449,Other
a56f1527-3abf-41d6-91f8-7296d6336c3f,Pop Culture & Entertainment
23dd907f-1261-4488-b21c-e9185af91d5e,"Arts, Literature & Museums"
42d4198c-5895-4f0a-b0c0-424a66465d83,Pop Culture & Entertainment
d5141ca5-e7a0-469f-bf3e-e773507c86e2,Science & Mathematics
9e1fc53b-46ff-49a1-9d05-9e6faac34cc5,Pop Culture & Entertainment
840bfca7-4f7b-481a-8794-c560c340185d,Science & Mathematics
e0c10771-d627-4fd7-9694-05348e54ee36,Science & Mathematics
a0068077-79f4-461a-adfe-75c1a4148545,Science & Mathematics
e29834fd-413a-455c-a33e-c3915b07401c,Pop Culture & Entertainment
bda648d7-d618-4883-88f4-3466eabd860e,Science & Mathematics
50ec8903-b81f-4257-9450-1085afd2c319,Science & Mathematics
cf106601-ab4f-4af9-b045-5295fe67b37d,Other
5f982798-16b9-4051-ab57-cfc7ebdb2a91,Science & Mathematics
a0c07678-e491-4bbc-8f0b-07405144218f,Other
5a0c1adf-205e-4841-a666-7c3ef95def9d,"Arts, Literature & Museums"
0bdb7c40-671d-4ad1-9ce3-986b159c0ddc,Science & Mathematics
08c0b6e9-1b43-4c2e-ae55-4e3fce2c2715,Pop Culture & Entertainment
db4fd70a-2d37-40ea-873f-9433dc5e301f,Geography & Travel
853c8244-429e-46ca-89f2-addf40dfb2bd,"Arts, Literature & Museums"
7a4a336d-dcfa-45a0-b014-824c7619e8de,Pop Culture & Entertainment
0512426f-4d28-49f0-be77-06d05daec096,Pop Culture & Entertainment
